head := query_30Centriod
606-th query  distance:=75573.6
607-th query  distance:=12185.2
608-th query  distance:=71238.9
609-th query  distance:=61597.1
610-th query  distance:=59530.6
611-th query  distance:=34205.4
612-th query  distance:=62540.9
613-th query  distance:=51894.6
614-th query  distance:=60324.3
615-th query  distance:=38337.8
616-th query  distance:=61883.9
617-th query  distance:=18931.1
618-th query  distance:=52930.7
619-th query  distance:=50315.9
620-th query  distance:=54556.8
621-th query  distance:=14433.5
622-th query  distance:=70665.2
623-th query  distance:=57131.1
624-th query  distance:=42302.1
625-th query  distance:=59412.3
626-th query  distance:=49136.9
627-th query  distance:=31044.9
628-th query  distance:=49239.4
629-th query  distance:=35708.1
630-th query  distance:=67381.8
631-th query  distance:=77936.5
632-th query  distance:=63496.7
633-th query  distance:=81289.9
634-th query  distance:=29320.9
635-th query  distance:=57162.2
636-th query  distance:=37398.9
637-th query  distance:=36286.3
638-th query  distance:=71254.3
639-th query  distance:=42798.8
640-th query  distance:=16258.1
641-th query  distance:=52522.1
642-th query  distance:=55098.9
643-th query  distance:=63378.8
644-th query  distance:=28238.4
645-th query  distance:=21920.8
646-th query  distance:=3109.9
647-th query  distance:=68955.4
648-th query  distance:=15471
649-th query  distance:=54075.4
650-th query  distance:=49129.4
651-th query  distance:=54183
652-th query  distance:=48809
653-th query  distance:=59119.4
654-th query  distance:=70733.4
655-th query  distance:=74872.1
656-th query  distance:=53449.8
657-th query  distance:=66533.9
658-th query  distance:=62531.3
659-th query  distance:=39971.9
660-th query  distance:=26224.7
661-th query  distance:=67091.7
662-th query  distance:=37555.4
663-th query  distance:=38613
664-th query  distance:=59368.1
665-th query  distance:=3568.77
666-th query  distance:=12683.8
667-th query  distance:=30705.2
668-th query  distance:=10416.1
669-th query  distance:=49123.8
670-th query  distance:=46835.8
671-th query  distance:=35014.8
672-th query  distance:=53738.8
673-th query  distance:=56464.8
674-th query  distance:=41298.8
675-th query  distance:=53244.9
676-th query  distance:=49890.1
677-th query  distance:=80504.4
678-th query  distance:=10204.1
679-th query  distance:=60603.2
680-th query  distance:=33846.1
681-th query  distance:=60648.4
682-th query  distance:=51408.8
683-th query  distance:=37806.4
684-th query  distance:=62648.9
685-th query  distance:=34701
686-th query  distance:=63814.3
687-th query  distance:=40648.8
688-th query  distance:=37360.4
689-th query  distance:=5165.06
690-th query  distance:=55665.7
691-th query  distance:=54102.8
692-th query  distance:=47756.6
693-th query  distance:=12503.4
694-th query  distance:=32714.2
695-th query  distance:=12831.3
696-th query  distance:=66423.4
697-th query  distance:=30207.9
698-th query  distance:=59518.6
699-th query  distance:=45275.1
700-th query  distance:=50511.4
701-th query  distance:=51311.7
702-th query  distance:=77215
703-th query  distance:=5869.58
704-th query  distance:=52252.2
705-th query  distance:=77798.1
706-th query  distance:=63667.3
707-th query  distance:=44196.1
708-th query  distance:=41896.3
709-th query  distance:=17770
710-th query  distance:=55641.9
711-th query  distance:=57820.2
712-th query  distance:=28261.5
713-th query  distance:=2491.62
714-th query  distance:=51429.2
715-th query  distance:=33351.5
716-th query  distance:=25519.6
717-th query  distance:=39452.3
718-th query  distance:=49977.2
719-th query  distance:=72674.2
720-th query  distance:=40859.3
721-th query  distance:=56368
722-th query  distance:=72895.6
723-th query  distance:=68739.3
724-th query  distance:=31263
725-th query  distance:=64955.2
726-th query  distance:=55456.5
727-th query  distance:=51280.7
728-th query  distance:=45319
729-th query  distance:=43996.5
730-th query  distance:=43431.5
731-th query  distance:=53776.6
732-th query  distance:=51559.7
733-th query  distance:=70155.8
734-th query  distance:=11174.6
735-th query  distance:=43282.4
736-th query  distance:=45810.1
737-th query  distance:=68555.3
738-th query  distance:=19472
739-th query  distance:=59504.3
740-th query  distance:=17674.5
741-th query  distance:=38111.8
742-th query  distance:=103586
